"admUnitFiveId","name","admUnitFourId"
10048571816,"Padma","10048571"
10048571841,"Patharghata","10048571"
10048571892,"Rohita","10048571"
10048583153,"Betmor","10048583"
10048583663,"Lemua (Part)","10048583"
10048583688,"Madartali","10048583"
10048583867,"Raihanpur","10048583"
10060213019,"Ambala","10060213"
10060213024,"Ashkar","10060213"
10060213049,"Bagdha","10060213"
10060213196,"Chand Trishira","10060213"
10060213401,"Gopal Sen","10060213"
10060213436,"Jobarpar","10060213"
10060213455,"Joyram Patti","10060213"
10060213475,"Kalirbari","10060213"
10060215073,"Bakal","10060215"
10060215249,"Dakshin Bara Magra","10060215"
10060215362,"Dumuria","10060215"
10060215441,"Jalirpar","10060215"
10060215450,"Jasar","10060215"
10060215529,"Kodal Dhoa","10060215"
10060215588,"Manasi Phulasree","10060215"
10060215632,"Naopara","10060215"
10060215656,"Pakurta","10060215"
10060215735,"Paysa","10060215"
10060215852,"Sarbari","10060215"
10060215872,"Shibbari","10060215"
10060215921,"Tetla","10060215"
10060215936,"Uttar Bara Magra","10060215"
10060247186,"Budhar","10060247"
10060247328,"Dakshin Sihi Pasha","10060247"
10060247333,"Daspatti","10060247"
10060247367,"Gaila","10060247"
10060247485,"Kalu Para","10060247"
10060247509,"Kathira","10060247"
10060247568,"Madhya Sihi Pasha","10060247"
10060247607,"Murihar","10060247"
10060247695,"Paschim Kathira","10060247"
10060247720,"Paschim Sujankati","10060247"
10060247730,"Patihar","10060247"
10060247774,"Purba Kathira","10060247"
10060247779,"Purba Rahut Para","10060247"
10060247794,"Purba Sujankati","10060247"
10060247867,"Seral","10060247"
10060247896,"Talta","10060247"
10060247916,"Temar","10060247"
10060247994,"Uttar Sihi Pasha","10060247"
10060279014,"Ahuti Bhatra","10060279"
10060279098,"Bara Basail","10060279"
10060279132,"Basunda","10060279"
10060279161,"Bhatra","10060279"
10060279230,"Chengtia","10060279"
10060279240,"Chhota Basail","10060279"
10060279245,"Chhota Dumuria","10060279"
10060279264,"Dakshin Bhajna","10060279"
10060279269,"Dakshin Bhaluksi","10060279"
10060279392,"Goail","10060279"
10060279470,"Kalaia","10060279"
10060279499,"Kandirpar Chengtia","10060279"
10060279514,"Kazirgram Sajuria","10060279"
10060279548,"Lakhar Matia","10060279"
10060279691,"Paschim Goail","10060279"
10060279700,"Paschim Rajihar","10060279"
10060279764,"Purba Goail","10060279"
10060279798,"Rajihar","10060279"
10060279803,"Ramananderak","10060279"
10060279808,"Rangta","10060279"
10060279828,"Sajuria","10060279"
10060279892,"Sutarbari","10060279"
10060279945,"Uttar Bhaluksi","10060279"
10060279990,"Uttar Sajuria","10060279"
10060287112,"Bara Paika","10060287"
10060287117,"Barohazar Bariali","10060287"
10060287151,"Beluhar","10060287"
10060287191,"Chaukati","10060287"
10060287205,"Chapachupa","10060287"
10060287235,"Chhaygram","10060287"
10060287338,"Datterabad","10060287"
10060287377,"Gauhar","10060287"
10060287597,"Mohankati","10060287"
10060287602,"Mollah Para","10060287"
10060287612,"Nagar","10060287"
10060287813,"Ratanpur","10060287"
10060287901,"Talta Aicha","10060287"
10060287926,"Thaneshwar Kati","10060287"
10060313012,"Agarpur","10060313"
10060313153,"Brahmandia","10060313"
10060313191,"Char Algi","10060313"
10060313204,"Char Fatehpur","10060313"
10060313216,"Char Hogalpatia","10060313"
10060313229,"Char Jahapur","10060313"
10060313242,"Char Kapalbera (Islampur)","10060313"
10060313255,"Char Maisha","10060313"
10060313280,"Char Silanda","10060313"
10060313293,"Char Thakur Mallik","10060313"
10060313369,"Dakshin Char Dakatia","10060313"
10060313459,"Ghoshkati Ramjankati","10060313"
10060313637,"Lamchar Ghoshkati","10060313"
10060313739,"Natun Char Jahapur","10060313"
10060313969,"Tiler Char","10060313"
10060313975,"Uttar Char Bhutardia","10060313"
10060327038,"Arazi Kalikapur","10060327"
10060327051,"Arjun Majhi","10060327"
10060327089,"Bakshi Char","10060327"
10060327102,"Banshgari","10060327"
10060327114,"Bayelakhali","10060327"
10060327127,"Bhabanipur","10060327"
10060327165,"Chandipur","10060327"
10060327178,"Chand Pasha Kismat","10060327"
10060327382,"Dariabad","10060327"
10060327408,"Dhum Char","10060327"
10060327446,"Gazipur","10060327"
10060327523,"Kalikapur","10060327"
10060327599,"Kulchar","10060327"
10060327854,"Rafiadi","10060327"
10060340025,"Arazi Bahir Char Ghoshkati","10060340"
10060340063,"Bahir Char Ghoshkati","10060340"
10060340076,"Bahir Char Khudrakati","10060340"
10060340267,"Char Sadhuhati K.Ullakati","10060340"
10060340395,"Dehergati","10060340"
10060340497,"Idilkati","10060340"
10060340561,"Kharij Jama Char","10060340"
10060340892,"Rakudia","10060340"
10060340918,"Rautkati","10060340"
10060340982,"Uttar Dehergati","10060340"
10060354140,"Bhutardia","10060354"
10060354318,"Chhani Kedarpur","10060354"
10060354348,"Dakshin Char Jahapur","10060354"
10060354357,"Dakshin Bhutardia","10060354"
10060354535,"Kedarpur","10060354"
10060354574,"Kismat Thakur Mallik","10060354"
10060354726,"Purba Bhutardia","10060354"
10060354776,"Purba Kedarpur","10060354"
10060354778,"Paschim Bhutardia","10060354"
10060367057,"Badla (Sreenagar)","10060367"
10060367331,"Chhatia","10060367"
10060367344,"Chandra Para","10060367"
10060367433,"Gajalia","10060367"
10060367471,"Goaldi Musuria (Part Ii)","10060367"
10060367484,"Hadibaskati","10060367"
10060367490,"Hizla","10060367"
10060367625,"Lafadi","10060367"
10060367676,"Madhab Pasha","10060367"
10060367714,"Meghia","10060367"
10060367727,"Musuria","10060367"
10060367765,"Pangsha","10060367"
10060367790,"Paschim Pangsha","10060367"
10060367816,"Pratappur","10060367"
10060367829,"Purba Rahmatpur","10060367"
10060367841,"Rabindranagar","10060367"
10060381420,"Dwarika","10060381"
10060381548,"Khanpura","10060381"
10060381567,"Khudrakati","10060381"
10060381612,"Kumariar Pit","10060381"
10060381650,"Lamchar Khudrakati","10060381"
10060381663,"Lohalia","10060381"
10060381688,"Maishadi","10060381"
10060381701,"Manikkati","10060381"
10060381752,"Olankati","10060381"
10060381803,"Paschim Rahmatpur","10060381"
10060381867,"Rajguru","10060381"
10060381880,"Rajkar","10060381"
10060381905,"Ram Patti","10060381"
10060381931,"Sadek Khan","10060381"
10060381943,"Singherkati","10060381"
10060381994,"Uttar Rahmatpur","10060381"
10060701800,"Uttar Runsi","10060701"
10060701873,"Dakhin Runsi","10060701"
10060702866,"Rangasree Paschim","10060702"
10060702868,"Rangasree Purba","10060702"
10060703064,"Bakerganj Dakshin","10060703"
10060703070,"Bakerganj Uttar","10060703"
10060703866,"Rangasree Purba","10060703"
10060704064,"Bakerganj","10060704"
10060704147,"Bharpasha (Original)","10060704"
10060705064,"Bakerganj Uttar","10060705"
10060705147,"Bhar Pasha Uttar","10060705"
10060705224,"Char Rangasree","10060705"
10060705895,"Sahebgonj","10060705"
10060706147,"Bhar Pasha Purba","10060706"
10060707147,"Bhar Pasha Paschim","10060707"
10060708147,"Bhar Pasha Dakshin","10060708"
10060709147,"Bhar Pasha Maddhya","10060709"
10060712032,"Atakati","10060712"
10060712115,"Bara Krishnakati","10060712"
10060712147,"Bhar Pasha (Part)","10060712"
10060712378,"Dudhal Mou","10060712"
10060712552,"Kanki","10060712"
10060712744,"Paschim Lakshmi Pasha","10060712"
10060713070,"Balaikathi","10060713"
10060713243,"Charadi","10060713"
10060713263,"Chhagaldi","10060713"
10060713449,"Halta","10060713"
10060713654,"Makimabad","10060713"
10060713725,"Paschim Charadi","10060713"
10060713905,"Santoshdi","10060713"
10060720038,"Badal Para","10060720"
10060720237,"Char Satikhola","10060720"
10060720250,"Char Amaddi","10060720"
10060720558,"Katadia","10060720"
10060727012,"Andhar Manik","10060727"
10060727083,"Bamnikathi","10060727"
10060727089,"Bamnikathi Charkhanda","10060727"
10060727192,"Bisarikathi Charkhanda","10060727"
10060727301,"Dakshin Kajlakati","10060727"
10060727333,"Darial","10060727"
10060727609,"Koshabar","10060727"
10060727950,"Swasthal Darial","10060727"
10060727975,"Uttampur","10060727"
10060727982,"Uttar Kajlakati","10060727"
10060733096,"Bara Dudhal","10060733"
10060733256,"Chatra","10060733"
10060733276,"Chhota Krishnakati","10060733"
10060733340,"Datterabad","10060733"
10060733430,"Goma","10060733"
10060733513,"Kabiraj","10060733"
10060733757,"Paschim Sarsi","10060733"
10060733776,"Pilkhana","10060733"
10060733821,"Purba Sarsi","10060733"
10060733911,"Sataraj","10060733"
10060733943,"Sundarkati","10060733"
10060740186,"Bisarikathi","10060740"
10060740205,"Char Durgapasha","10060740"
10060740218,"Char Lakshmi Bardhan","10060740"
10060740417,"Ghoshkati","10060740"
10060740423,"Gobindapur","10060740"
10060740500,"Jirail","10060740"
10060740564,"Katakhali","10060740"
10060740629,"Lakshmi Bardhan","10060740"
10060740763,"Patkati","10060740"
10060740789,"Purba Angaria","10060740"
10060747154,"Bhatsala","10060747"
10060747160,"Char Bhatsala","10060747"
10060747166,"Bhoj Mahal","10060747"
10060747397,"Faridpur","10060747"
10060747436,"Goma Mangalsi","10060747"
