"admUnitFourId","name","area","admUnitThreeId"
10424005,"Ward No-05 ",NA,"104240"
10424006,"Ward No-06 ",NA,"104240"
10424007,"Ward No-07 ",NA,"104240"
10424008,"Ward No-08 ",NA,"104240"
10424009,"Ward No-09 ",NA,"104240"
10424017,"Basanda Union ",2099,"104240"
10424019,"Binoykati Union ",4174,"104240"
10424028,"Gabkhan Dhansiri Union ",3705,"104240"
10424038,"Gabha Ramchandrapur Union ",3737,"104240"
10424057,"Keora Union ",2507,"104240"
10424063,"Nathullabad Union ",3985,"104240"
10424066,"Kirtipasha Union ",4816,"104240"
10424076,"Nabagram Union ",3233,"104240"
10424085,"Ponabalia Union ",1494,"104240"
10424095,"Sekherhat Union ",3211,"104240"
10424315,"Amua Union ",6194,"104243"
10424331,"Awrabunia Union ",5032,"104243"
10424347,"Chenchri Rampur Union ",8441,"104243"
10424363,"Kanthalia Union ",4324,"104243"
10424379,"Patkhalghata Union ",4414,"104243"
10424394,"Saulajalia Union ",8981,"104243"
10427301,"Ward No-01 ",NA,"104273"
10427302,"Ward No-02 ",NA,"104273"
10427303,"Ward No-03 ",NA,"104273"
10427304,"Ward No-04 ",NA,"104273"
10427305,"Ward No-05 ",NA,"104273"
10427306,"Ward No-06 ",NA,"104273"
10427307,"Ward No-07 ",NA,"104273"
10427308,"Ward No-08 ",NA,"104273"
10427309,"Ward No-09 ",NA,"104273"
10427313,"Bharabpasha Union ",4167,"104273"
10427315,"Dapdapia Union ",7727,"104273"
10427321,"Kulkati Union ",4973,"104273"
10427331,"Kusanghal Union ",4437,"104273"
10427336,"Mollahat Union ",4824,"104273"
10427342,"Magar Union ",4365,"104273"
10427352,"Nachan Mohal Union ",3418,"104273"
10427373,"Ranapasha Union ",4251,"104273"
10427384,"Siddhakati Union ",4440,"104273"
10427394,"Subidpur Union ",4348,"104273"
10428413,"Baramaia Union ",6738,"104284"
10428427,"Galua Union ",7509,"104284"
10428440,"Mathbari Union ",6355,"104284"
10428454,"Rajapur Union ",7391,"104284"
10428467,"Saturia Union ",6137,"104284"
10428481,"Suktagarh Union ",6476,"104284"
10783801,"Ward No-01 ",NA,"107838"
10783802,"Ward No-02 ",NA,"107838"
10783803,"Ward No-03 ",NA,"107838"
10783804,"Ward No-04 ",NA,"107838"
10783805,"Ward No-05 ",NA,"107838"
10783806,"Ward No-06 ",NA,"107838"
10783807,"Ward No-07 ",NA,"107838"
10783808,"Ward No-08 ",NA,"107838"
10783809,"Ward No-09 ",NA,"107838"
10783810,"Adabaria Union ",6723,"107838"
10783811,"Baga Union ",8960,"107838"
10783829,"Bauphal Union ",8230,"107838"
10783835,"Daspara Union ",4810,"107838"
10783841,"Dhulia Union ",8759,"107838"
10783847,"Kanchi Para Union ",7642,"107838"
10783853,"Kalaiya Union ",14424,"107838"
10783859,"Kalisuri Union ",7357,"107838"
10783865,"Kanakdia Union ",6941,"107838"
10783871,"Keshabpur Union ",10949,"107838"
10783877,"Madanpura Union ",5702,"107838"
10783883,"Noamala Union ",6721,"107838"
10783889,"Nazirpur Union ",14781,"107838"
10783895,"Surjyamani Union ",6400,"107838"
10785210,"Alipur Union ",10618,"107852"
10785221,"Bahrampur Union ",9931,"107852"
10785231,"Banshbaria Union ",8940,"107852"
10785242,"Betagi Sankipura Union T",10243,"107852"
10785252,"Dashmina Union ",21994,"107852"
10785284,"Rangopaldi Union ",25225,"107852"
10785519,"Angaria Union ",4044,"107855"
10785547,"Lebukhali Union ",7215,"107855"
10785581,"Muradia Union ",6840,"107855"
10785588,"Pangashia Union ",4738,"107855"
10785593,"Sreerampur Union ",838,"107855"
10785701,"Ward No-01 ",NA,"107857"
10785702,"Ward No-02 ",NA,"107857"
10785703,"Ward No-03 ",NA,"107857"
10785704,"Ward No-04 ",NA,"107857"
10785705,"Ward No-05 ",NA,"107857"
10785706,"Ward No-06 ",NA,"107857"
10785707,"Ward No-07 ",NA,"107857"
10785708,"Ward No-08 ",NA,"107857"
10785709,"Ward No-09 ",NA,"107857"
10785711,"Amkhola Union ",11673,"107857"
10785722,"Bakulbaria Union ",12792,"107857"
10785727,"Bara Baisdia Union ",23838,"107857"
10785732,"Chalitabunia Union ",6758,"107857"
10785734,"Char Montaz Union ",13997,"107857"
10785737,"Char Biswas Union ",9408,"107857"
10785739,"Char Kajal Union ",25159,"107857"
10785744,"Chhota Baisdia Union Tot",13492,"107857"
10785750,"Chiknikandi Union ",12187,"107857"
10785755,"Dakua Union ",8017,"107857"
10785767,"Galachipa Union ",11433,"107857"
10785769,"Gazalia Union ",10759,"107857"
10785772,"Golkhali Union ",16730,"107857"
